source,target
Customers/18237,Customers/18245
Customers/18237,Customers/16255
Customers/18237,Customers/12843
Customers/18237,Customers/18226
Customers/18237,Customers/16782
Customers/18237,Customers/15910
Customers/18237,Customers/17706
Customers/18237,Customers/14527
Customers/18237,Customers/14825
Customers/18237,Customers/17576
Customers/18237,Customers/14178
Customers/18237,Customers/15039
Customers/18237,Customers/16549
Customers/18237,Customers/16942
Customers/18237,Customers/15737
Customers/18237,Customers/13137
Customers/18237,Customers/15023
Customers/18237,Customers/17690
Customers/18237,Customers/18122
Customers/18237,Customers/13971
Customers/18237,Customers/14367
Customers/18237,Customers/12856
Customers/18237,Customers/14546
Customers/18237,Customers/16713
Customers/18237,Customers/17644
Customers/18237,Customers/16293
Customers/18237,Customers/14085
Customers/18237,Customers/13230
Customers/18237,Customers/17451
Customers/18237,Customers/14056
Customers/18237,Customers/12957
Customers/18237,Customers/15996
Customers/18237,Customers/17758
Customers/18237,Customers/13451
Customers/18237,Customers/16592
Customers/18237,Customers/17799
Customers/18237,Customers/15253
Customers/18237,Customers/18283
Customers/18237,Customers/16928
Customers/18237,Customers/16057
Customers/18237,Customers/16393
Customers/18237,Customers/13782
Customers/18237,Customers/13755
Customers/18237,Customers/14083
Customers/18237,Customers/15518
Customers/18237,Customers/17530
Customers/18237,Customers/17236
Customers/18237,Customers/13994
Customers/18237,Customers/17954
Customers/18237,Customers/16764
Customers/18237,Customers/14159
Customers/18237,Customers/14639
Customers/18237,Customers/13267
Customers/18237,Customers/16173
Customers/18237,Customers/17682
Customers/18237,Customers/13804
Customers/18237,Customers/16326
Customers/18237,Customers/17725
Customers/18237,Customers/17027
Customers/18237,Customers/15547
Customers/18237,Customers/18041
Customers/18237,Customers/17164
Customers/18237,Customers/17813
Customers/18237,Customers/14534
Customers/18237,Customers/17463
Customers/18237,Customers/16241
Customers/18237,Customers/14667
Customers/18237,Customers/16775
Customers/18237,Customers/16550
Customers/18237,Customers/14210
Customers/18237,Customers/16150
Customers/18237,Customers/17377
Customers/18237,Customers/16145
Customers/18237,Customers/14702
Customers/18237,Customers/13069
Customers/18237,Customers/17612
Customers/18237,Customers/14562
Customers/18237,Customers/13527
Customers/18237,Customers/15271
Customers/18237,Customers/16168
Customers/18237,Customers/17220
Customers/18237,Customers/15719
Customers/18237,Customers/18219
Customers/18237,Customers/12948
Customers/18237,Customers/17068
Customers/18237,Customers/17611
Customers/18237,Customers/14462
Customers/18237,Customers/17091
Customers/18237,Customers/16477
Customers/18237,Customers/17865
Customers/18237,Customers/14456
Customers/18237,Customers/16818
Customers/18237,Customers/15811
Customers/18237,Customers/16931
Customers/18237,Customers/13880
Customers/18237,Customers/14415
Customers/18237,Customers/14719
Customers/18237,Customers/17965
Customers/18237,Customers/18236
Customers/18237,Customers/13184
Customers/18237,Customers/17659
Customers/18237,Customers/12951
Customers/18237,Customers/16033
Customers/18237,Customers/14215
Customers/18237,Customers/15860
Customers/18237,Customers/16434
Customers/18237,Customers/13013
Customers/18237,Customers/13534
Customers/18237,Customers/13488
Customers/18237,Customers/16875
Customers/18237,Customers/14573
Customers/18237,Customers/13668
Customers/18237,Customers/12949
Customers/18237,Customers/13317
Customers/18237,Customers/13999
Customers/18237,Customers/18241
Customers/18237,Customers/15601
Customers/18237,Customers/17109
Customers/18237,Customers/17894
Customers/18237,Customers/14221
Customers/18237,Customers/18221
Customers/18237,Customers/13319
Customers/18237,Customers/16407
Customers/18237,Customers/15804
Customers/18237,Customers/17126
Customers/18237,Customers/17231
Customers/18237,Customers/13709
Customers/18237,Customers/13969
Customers/18237,Customers/15696
Customers/18237,Customers/13704
Customers/18237,Customers/15356
Customers/18237,Customers/17562
Customers/18237,Customers/13004
Customers/18237,Customers/14711
Customers/18237,Customers/16791
Customers/18237,Customers/16016
Customers/18237,Customers/14194
Customers/18237,Customers/16923
Customers/18237,Customers/15249
Customers/18237,Customers/13012
Customers/18237,Customers/15906
Customers/18237,Customers/15867
Customers/18221,Customers/15570
Customers/18221,Customers/18245
Customers/18221,Customers/16255
Customers/18221,Customers/16360
Customers/18221,Customers/18226
Customers/18221,Customers/16607
Customers/18221,Customers/16782
Customers/18221,Customers/15024
Customers/18221,Customers/12843
Customers/18221,Customers/14312
Customers/18221,Customers/15358
Customers/18221,Customers/15910
Customers/18221,Customers/17706
Customers/18221,Customers/14527
Customers/18221,Customers/13468
Customers/18221,Customers/14825
Customers/18221,Customers/13742
Customers/18221,Customers/14178
Customers/18221,Customers/17238
Customers/18221,Customers/15039
Customers/18221,Customers/15594
Customers/18221,Customers/15827
Customers/18221,Customers/17609
Customers/18221,Customers/13924
Customers/18221,Customers/16942
Customers/18221,Customers/17516
Customers/18221,Customers/12839
Customers/18221,Customers/13137
Customers/18221,Customers/15023
Customers/18221,Customers/15737
