var_1,desc_1,var_2,desc_2,corr
15044A,PINK_PAPER_PARASOL_,15044B,BLUE_PAPER_PARASOL_,0.8828047647818268
15044A,PINK_PAPER_PARASOL_,15044C,PURPLE_PAPER_PARASOL,0.8599837383240084
15044A,PINK_PAPER_PARASOL_,15044D,RED_PAPER_PARASOL,0.9145032752108909
15044B,BLUE_PAPER_PARASOL_,15044C,PURPLE_PAPER_PARASOL,0.8368070599989363
15044B,BLUE_PAPER_PARASOL_,15044D,RED_PAPER_PARASOL,0.9260564699457815
15044C,PURPLE_PAPER_PARASOL,15044D,RED_PAPER_PARASOL,0.914724886277241
16014,SMALL_CHINESE_STYLE_SCISSOR,16015,MEDIUM_CHINESE_STYLE_SCISSOR,0.8714560943633192
16014,SMALL_CHINESE_STYLE_SCISSOR,16016,LARGE_CHINESE_STYLE_SCISSOR,0.9313258147198327
16015,MEDIUM_CHINESE_STYLE_SCISSOR,22300,COFFEE_MUG_DOG_+_BALL_DESIGN,0.8331409556892432
17012A,ORIGAMI_VANILLA_INCENSE/CANDLE_SET_,17012B,ORIGAMI_JASMINE_INCENSE/CANDLE_SET,0.9711225478480291
17012A,ORIGAMI_VANILLA_INCENSE/CANDLE_SET_,84877D,BLUE_ROUND_COMPACT_MIRROR,0.832943236363169
17012B,ORIGAMI_JASMINE_INCENSE/CANDLE_SET,84877D,BLUE_ROUND_COMPACT_MIRROR,0.8653396532830645
17096,ASSORTED_LAQUERED_INCENSE_HOLDERS,84674,FLYING_PIG_WATERING_CAN,0.8085699893349954
20617,FIRST_CLASS_PASSPORT_COVER_,20618,QUEEN_OF_THE_SKIES_PASSPORT_COVER_,0.9488571465717057
20668,DISCO_BALL_CHRISTMAS_DECORATION,20735,BLACK_MINI_TAPE_MEASURE_,0.8318449031767826
20668,DISCO_BALL_CHRISTMAS_DECORATION,21131,GOLD_STANDING_GNOME,0.8035199511523706
20668,DISCO_BALL_CHRISTMAS_DECORATION,21629,SQUARE_FLOOR_CUSHION_VINTAGE_RED,0.8053566367107865
20668,DISCO_BALL_CHRISTMAS_DECORATION,21925,UNION_STRIPE_CUSHION_COVER_,0.8503094643716091
20668,DISCO_BALL_CHRISTMAS_DECORATION,21926,RED/CREAM_STRIPE_CUSHION_COVER_,0.8538175760016512
20668,DISCO_BALL_CHRISTMAS_DECORATION,21927,BLUE/CREAM_STRIPE_CUSHION_COVER_,0.9631559917324655
20668,DISCO_BALL_CHRISTMAS_DECORATION,22041,"RECORD_FRAME_7""_SINGLE_SIZE_",0.8589892451253832
20668,DISCO_BALL_CHRISTMAS_DECORATION,22134,MINI_LADLE_LOVE_HEART_RED_,0.8654202903363509
20668,DISCO_BALL_CHRISTMAS_DECORATION,22135,LADLE_LOVE_HEART_PINK,0.8847389996035159
20668,DISCO_BALL_CHRISTMAS_DECORATION,22222,CAKE_PLATE_LOVEBIRD_WHITE,0.8351728190059914
20668,DISCO_BALL_CHRISTMAS_DECORATION,22475,SKULL_DESIGN_TV_DINNER_TRAY,0.8779987131753381
20668,DISCO_BALL_CHRISTMAS_DECORATION,22760,"TRAY,_BREAKFAST_IN_BED",0.8158940102171678
20668,DISCO_BALL_CHRISTMAS_DECORATION,22893,MINI_CAKE_STAND_T-LIGHT_HOLDER,0.9084902253771884
20668,DISCO_BALL_CHRISTMAS_DECORATION,22954,HEN_PARTY_CORDON_BARRIER_TAPE,0.8602124241816641
20668,DISCO_BALL_CHRISTMAS_DECORATION,46000R,POLYESTER_FILLER_PAD_45x30cm,0.8871176199388152
20668,DISCO_BALL_CHRISTMAS_DECORATION,46000U,POLYESTER_FILLER_PAD_30CMx30CM,0.8772992107943485
20668,DISCO_BALL_CHRISTMAS_DECORATION,47421,ASSORTED_COLOUR_LIZARD_SUCTION_HOOK,0.9760046864774194
20668,DISCO_BALL_CHRISTMAS_DECORATION,71406C,BLACK_ORANGE_SQUEEZER,0.9732977418757727
20668,DISCO_BALL_CHRISTMAS_DECORATION,79160,HEART_SHAPE_WIRELESS_DOORBELL,0.8707160655525684
20668,DISCO_BALL_CHRISTMAS_DECORATION,79321,CHILLI_LIGHTS,0.804498634547173
20668,DISCO_BALL_CHRISTMAS_DECORATION,84659A,WHITE_TRAVEL_ALARM_CLOCK,0.8005432184069057
20668,DISCO_BALL_CHRISTMAS_DECORATION,85114B,IVORY_ENCHANTED_FOREST_PLACEMAT,0.9105179804047628
20674,GREEN_POLKADOT_BOWL,20675,BLUE_POLKADOT_BOWL,0.856164953596946
20674,GREEN_POLKADOT_BOWL,20676,RED_RETROSPOT_BOWL,0.8270411452382546
20674,GREEN_POLKADOT_BOWL,20677,PINK_POLKADOT_BOWL,0.8364706563571422
20674,GREEN_POLKADOT_BOWL,21245,GREEN_POLKADOT_PLATE_,0.8078460259491581
20675,BLUE_POLKADOT_BOWL,20677,PINK_POLKADOT_BOWL,0.8922768475931367
20704,MR_ROBOT_SOFT_TOY,20705,MRS_ROBOT_SOFT_TOY,0.8857263384137418
20711,JUMBO_BAG_TOYS_,20712,JUMBO_BAG_WOODLAND_ANIMALS,0.8291033016313367
20719,WOODLAND_CHARLOTTE_BAG,22355,CHARLOTTE_BAG_SUKI_DESIGN,0.8165052328323346
20723,STRAWBERRY_CHARLOTTE_BAG,20724,RED_RETROSPOT_CHARLOTTE_BAG,0.9017214462089019
20723,STRAWBERRY_CHARLOTTE_BAG,22355,CHARLOTTE_BAG_SUKI_DESIGN,0.8280347560934067
20724,RED_RETROSPOT_CHARLOTTE_BAG,22355,CHARLOTTE_BAG_SUKI_DESIGN,0.8253750570261602
20724,RED_RETROSPOT_CHARLOTTE_BAG,22356,CHARLOTTE_BAG_PINK_POLKADOT,0.8278051051477263
20728,LUNCH_BAG_CARS_BLUE,22384,LUNCH_BAG_PINK_POLKADOT,0.8051917730802836
20735,BLACK_MINI_TAPE_MEASURE_,21927,BLUE/CREAM_STRIPE_CUSHION_COVER_,0.8357757012132313
20735,BLACK_MINI_TAPE_MEASURE_,22135,LADLE_LOVE_HEART_PINK,0.8045343826760711
20735,BLACK_MINI_TAPE_MEASURE_,47421,ASSORTED_COLOUR_LIZARD_SUCTION_HOOK,0.8468613677172827
20735,BLACK_MINI_TAPE_MEASURE_,71406C,BLACK_ORANGE_SQUEEZER,0.844595296885171
20735,BLACK_MINI_TAPE_MEASURE_,85114B,IVORY_ENCHANTED_FOREST_PLACEMAT,0.8175463470227861
20755,BLUE_PAISLEY_POCKET_BOOK,20757,RED_DAISY_POCKET_BOOK_,0.8270815108013313
20758,ABSTRACT_CIRCLES_POCKET_BOOK,20760,GARDEN_PATH_POCKET_BOOK,0.8820209153327078
20759,CHRYSANTHEMUM_POCKET_BOOK_,20760,GARDEN_PATH_POCKET_BOOK,0.8019870689181011
20762,GREEN_FERN_SKETCHBOOK_,20765,CHRYSANTHEMUM_SKETCHBOOK_,0.9013025806946975
20780,BLACK_EAR_MUFF_HEADPHONES,21445,12_PINK_ROSE_PEG_PLACE_SETTINGS,0.88063806873478
20780,BLACK_EAR_MUFF_HEADPHONES,21664,RIDGED_GLASS_STORAGE_JAR_CREAM_LID,0.8355795707691649
20780,BLACK_EAR_MUFF_HEADPHONES,21666,RIDGED_GLASS_T-LIGHT_HOLDER,0.887309057905227
20780,BLACK_EAR_MUFF_HEADPHONES,21846,PINK_DIAMANTE_PEN_IN_GIFT_BOX,0.844728477231109
20780,BLACK_EAR_MUFF_HEADPHONES,21850,BLUE__DIAMANTE_PEN_IN_GIFT_BOX,0.8882408422863385
20780,BLACK_EAR_MUFF_HEADPHONES,22504,CABIN_BAG_VINTAGE_RETROSPOT,0.8227301881624933
20780,BLACK_EAR_MUFF_HEADPHONES,84352,SILVER_CHRISTMAS_TREE_BAUBLE_STAND_,0.909369597619532
20819,SILVER_TEDDY_BEAR,21684,SMALL_MEDINA_STAMPED_METAL_BOWL_,0.8750264859166185
20868,SILVER_FABRIC_MIRROR,20869,GOLD_FABRIC_MIRROR,0.8426221660937495
20984,12_PENCILS_TALL_TUBE_POSY,82616B,FRAPPUCINO_SCARF_KNITTING_KIT,0.8256475017263238
20984,12_PENCILS_TALL_TUBE_POSY,84877D,BLUE_ROUND_COMPACT_MIRROR,0.890026149694807
20986,BLUE_CALCULATOR_RULER,72131,COLUMBIAN_CANDLE_RECTANGLE,0.8516762953178116
20986,BLUE_CALCULATOR_RULER,90114,SUMMER_DAISIES_BAG_CHARM,0.8637984676493421
20992,JAZZ_HEARTS_PURSE_NOTEBOOK,72586,SET_OF_6_HALLOWEEN_GHOST_T-LIGHTS,0.8239518033927865
21055,TOOL_BOX_SOFT_TOY_,21056,DOCTOR'S_BAG_SOFT_TOY,0.8994313514253134
21086,SET/6_RED_SPOTTY_PAPER_CUPS,21094,SET/6_RED_SPOTTY_PAPER_PLATES,0.9667563920259639
21088,SET/6_FRUIT_SALAD_PAPER_CUPS,21096,SET/6_FRUIT_SALAD__PAPER_PLATES,0.9071707521886935
21125,SET_6_FOOTBALL_CELEBRATION_CANDLES,21126,SET_OF_6_GIRLS_CELEBRATION_CANDLES,0.8534572569605208
21128,GOLD_FISHING_GNOME,21132,SILVER_STANDING_GNOME___,0.8120525756481324
21131,GOLD_STANDING_GNOME,21629,SQUARE_FLOOR_CUSHION_VINTAGE_RED,0.8773213437560442
21131,GOLD_STANDING_GNOME,21927,BLUE/CREAM_STRIPE_CUSHION_COVER_,0.8188140413030842
21131,GOLD_STANDING_GNOME,47421,ASSORTED_COLOUR_LIZARD_SUCTION_HOOK,0.8233908296305795
