source,target
Items/22771,Items/21754
Items/22771,Items/48185
Items/22771,Items/23103
Items/22771,Items/21175
Items/22771,Items/22551
Items/22771,Items/84879
Items/22771,Items/21671
Items/22771,Items/22367
Items/22771,Items/23355
Items/22771,Items/22427
Items/22771,Items/22457
Items/22771,Items/22045
Items/22771,Items/85049E
Items/22771,Items/22730
Items/22771,Items/23351
Items/22771,Items/23245
Items/22771,Items/22554
Items/22771,Items/22961
Items/22771,Items/22844
Items/22771,Items/22749
Items/22771,Items/22970
Items/22771,Items/23207
Items/22771,Items/22952
Items/22771,Items/23202
Items/22771,Items/22158
Items/22771,Items/22077
Items/22771,Items/22193
Items/22771,Items/20749
Items/22771,Items/23298
Items/22771,Items/21165
Items/22771,Items/22649
Items/22771,Items/20676
Items/22771,Items/22766
Items/22771,Items/23313
Items/22771,Items/23322
Items/22771,Items/21843
Items/22771,Items/48111
Items/22771,Items/17003
Items/22771,Items/21731
Items/22771,Items/22297
Items/22771,Items/23078
Items/22771,Items/85175
Items/22771,Items/21524
Items/22771,Items/22386
Items/22771,Items/23077
Items/22771,Items/22151
Items/22771,Items/22197
Items/22771,Items/22192
Items/22771,Items/22138
Items/22771,Items/22139
Items/22771,Items/22910
Items/22771,Items/23068
Items/22771,Items/22113
Items/22771,Items/23208
Items/22771,Items/82486
Items/22771,Items/22866
Items/22771,Items/48173C
Items/22771,Items/23328
Items/22771,Items/23407
Items/22771,Items/22570
Items/22771,Items/22333
Items/22771,Items/22418
Items/22771,Items/23126
Items/22771,Items/22569
Items/22771,Items/20728
Items/22771,Items/82600
Items/22771,Items/22558
Items/22771,Items/22501
Items/22771,Items/22720
Items/22771,Items/23344
Items/22771,Items/22621
Items/22771,Items/84375
Items/21165,Items/21754
Items/21165,Items/48185
Items/21165,Items/23103
Items/21165,Items/21175
Items/21165,Items/22551
Items/21165,Items/84879
Items/21165,Items/23355
Items/21165,Items/22367
Items/21165,Items/21671
Items/21165,Items/22427
Items/21165,Items/22457
Items/21165,Items/22045
Items/21165,Items/85049E
Items/21165,Items/22730
Items/21165,Items/23351
Items/21165,Items/22554
Items/21165,Items/23245
Items/21165,Items/22961
Items/21165,Items/22844
Items/21165,Items/22623
Items/21165,Items/22749
Items/21165,Items/22970
Items/21165,Items/23207
Items/21165,Items/22952
Items/21165,Items/23202
Items/21165,Items/22158
Items/21165,Items/22077
Items/21165,Items/15036
Items/21165,Items/20749
Items/21165,Items/23298
Items/21165,Items/22193
Items/21165,Items/20676
Items/21165,Items/22649
Items/21165,Items/22766
Items/21165,Items/23313
Items/21165,Items/23322
Items/21165,Items/21843
Items/21165,Items/48111
Items/21165,Items/17003
Items/21165,Items/21731
Items/21165,Items/22297
Items/21165,Items/23078
Items/21165,Items/85175
Items/21165,Items/22386
Items/21165,Items/23077
Items/21165,Items/21524
Items/21165,Items/22151
Items/21165,Items/22197
Items/21165,Items/22192
Items/21165,Items/22113
Items/21165,Items/22910
Items/21165,Items/23068
Items/21165,Items/22138
Items/21165,Items/23208
Items/21165,Items/22139
Items/21165,Items/82486
Items/21165,Items/22866
Items/21165,Items/48173C
Items/21165,Items/23328
Items/21165,Items/22333
Items/21165,Items/22570
Items/21165,Items/23407
Items/21165,Items/22418
Items/21165,Items/22569
Items/21165,Items/23126
Items/21165,Items/20728
Items/21165,Items/82600
Items/21165,Items/22558
Items/21165,Items/22501
Items/21165,Items/22720
Items/21165,Items/23344
Items/21165,Items/22621
Items/21165,Items/84375
Items/21754,Items/48185
Items/21754,Items/23103
Items/21754,Items/21175
Items/21754,Items/22551
Items/21754,Items/84879
Items/21754,Items/23355
Items/21754,Items/22367
Items/21754,Items/21671
Items/21754,Items/22427
Items/21754,Items/22457
Items/21754,Items/22045
Items/21754,Items/85049E
Items/21754,Items/22730
Items/21754,Items/23351
Items/21754,Items/23245
Items/21754,Items/22554
Items/21754,Items/22961
Items/21754,Items/22844
Items/21754,Items/22623
Items/21754,Items/22749
Items/21754,Items/22970
Items/21754,Items/23207
Items/21754,Items/22952
Items/21754,Items/20749
Items/21754,Items/22158
Items/21754,Items/22077
Items/21754,Items/23202
Items/21754,Items/22193
Items/21754,Items/23298
Items/21754,Items/15036
Items/21754,Items/20676
Items/21754,Items/22649
Items/21754,Items/22766
Items/21754,Items/23313
Items/21754,Items/23322
Items/21754,Items/21731
Items/21754,Items/21843
Items/21754,Items/17003
Items/21754,Items/48111
Items/21754,Items/22297
Items/21754,Items/23078
Items/21754,Items/85175
Items/21754,Items/21524
Items/21754,Items/23077
Items/21754,Items/22386
Items/21754,Items/22151
Items/21754,Items/22197
Items/21754,Items/22192
Items/21754,Items/22113
Items/21754,Items/22138
Items/21754,Items/22139
Items/21754,Items/23208
Items/21754,Items/23068
Items/21754,Items/82486
Items/21754,Items/22866
Items/21754,Items/48173C
Items/21754,Items/22910
Items/21754,Items/23328
Items/21754,Items/23407
Items/21754,Items/22570
Items/21754,Items/22333
Items/21754,Items/22418
Items/21754,Items/22569
Items/21754,Items/23126
Items/21754,Items/20728
Items/21754,Items/82600
Items/21754,Items/22558
Items/21754,Items/22501
Items/21754,Items/22720
Items/21754,Items/23344
Items/21754,Items/22621
Items/21754,Items/84375
Items/23068,Items/23103
Items/23068,Items/48185
Items/23068,Items/21175
Items/23068,Items/21671
Items/23068,Items/84879
Items/23068,Items/23355
Items/23068,Items/22367
Items/23068,Items/22551
Items/23068,Items/22427
Items/23068,Items/22457
Items/23068,Items/22045
Items/23068,Items/85049E
Items/23068,Items/22730
Items/23068,Items/23351
Items/23068,Items/23245
Items/23068,Items/22554
Items/23068,Items/22961
Items/23068,Items/22844
Items/23068,Items/22749
Items/23068,Items/22970
Items/23068,Items/23207
Items/23068,Items/22193
Items/23068,Items/23202
Items/23068,Items/22158
Items/23068,Items/22077
Items/23068,Items/22952
Items/23068,Items/15036
Items/23068,Items/23298
Items/23068,Items/20749
Items/23068,Items/20676
Items/23068,Items/22649
Items/23068,Items/22766
Items/23068,Items/23313
Items/23068,Items/21843
Items/23068,Items/23322
Items/23068,Items/21731
